特征名称,重要性
f1631,54.0
f1671,54.0
f1737,54.0
f1820,54.0
f1878,54.0
f1882,54.0
f1487,53.0
f1551,53.0
f1647,53.0
f1669,53.0
f1715,53.0
f1726,53.0
f1748,53.0
f1844,53.0
f1665,52.0
f1672,52.0
f1690,52.0
f1695,52.0
f1734,52.0
f1854,52.0
f1861,52.0
f1886,52.0
f1924,52.0
f1556,51.0
f1649,51.0
f1663,51.0
f1681,51.0
f1687,51.0
f1704,51.0
f1733,51.0
f1772,51.0
f1808,51.0
f1824,51.0
f1835,51.0
f1557,50.0
f1616,50.0
f1654,50.0
f1709,50.0
f1779,50.0
f1794,50.0
f1839,50.0
f1848,50.0
f1866,50.0
f1881,50.0
f1980,50.0
f1621,49.0
f1701,49.0
f1707,49.0
f1716,49.0
f1725,49.0
f1798,49.0
f1894,49.0
f2066,49.0
f1645,48.0
f1657,48.0
f1688,48.0
f1799,48.0
f1904,48.0
f1940,48.0
f1536,47.0
f1637,47.0
f1662,47.0
f1664,47.0
f1758,47.0
f1788,47.0
f1840,47.0
f1858,47.0
f1992,47.0
f1660,46.0
f1667,46.0
f1741,46.0
f1753,46.0
f1764,46.0
f1767,46.0
f1771,46.0
f1775,46.0
f1784,46.0
f1827,46.0
f1906,46.0
f2000,46.0
f1517,45.0
f1577,45.0
f1705,45.0
f1735,45.0
f1743,45.0
f1789,45.0
f1807,45.0
f1815,45.0
f1847,45.0
f1702,44.0
f1755,44.0
f1786,44.0
f1790,44.0
f1795,44.0
f1802,44.0
f1814,44.0
f1819,44.0
f1832,44.0
f1842,44.0
f1852,44.0
f1898,44.0
f1901,44.0
f1960,44.0
f2158,44.0
f1596,43.0
f1691,43.0
f1720,43.0
f1765,43.0
f1774,43.0
f1838,43.0
f1863,43.0
f1935,43.0
f1974,43.0
f1727,42.0
f1732,42.0
f1744,42.0
f1773,42.0
f1787,42.0
f1834,42.0
f1853,42.0
f1862,42.0
f1865,42.0
f1875,42.0
f1884,42.0
f1920,42.0
f1972,42.0
f2049,42.0
f2140,42.0
f1651,41.0
f1703,41.0
f1770,41.0
f1777,41.0
f1868,41.0
f1902,41.0
f1969,41.0
f1978,41.0
f1985,41.0
f2100,41.0
f1549,40.0
f1576,40.0
f1736,40.0
f1745,40.0
f1763,40.0
f1818,40.0
f1944,40.0
f1953,40.0
f2297,40.0
f1711,39.0
f1717,39.0
f1723,39.0
f1750,39.0
f1756,39.0
f1804,39.0
f1809,39.0
f1825,39.0
f1859,39.0
f1887,39.0
f1915,39.0
f1928,39.0
f2003,39.0
f2009,39.0
f2026,39.0
f2043,39.0
f2125,39.0
f1636,38.0
f1682,38.0
f1909,38.0
